Step,CPU,Temperature (K),Pressure (GPa),Volume,v_nAtom,v_FU,c_PE,Energy (eV/FU),c_T,MSD (Å$^2$),c_MSD2[4]
8600.0,452.3506,301.69015,-0.6212336500000001,130742.65,12960.0,1620.0,-22068.275,-13.622392,301.69015,1.6246167,1.6246167
8700.0,457.61645,305.03528,-0.6583104900000001,130742.65,12960.0,1620.0,-22071.154,-13.624169,305.03528,1.6278035,1.6278035
8800.0,462.88992,304.39516,-0.67714149,130742.65,12960.0,1620.0,-22069.668,-13.623252,304.39516,1.6380369,1.6380369
8900.0,468.18862,299.08994,-0.59922122,130742.65,12960.0,1620.0,-22064.266,-13.619917,299.08994,1.6579642,1.6579642
9000.0,473.49145,301.07156,-0.61103979,130742.65,12960.0,1620.0,-22065.809,-13.62087,301.07156,1.6544896,1.6544896
9100.0,478.82149,301.89414,-0.5711600400000001,130742.65,12960.0,1620.0,-22068.088,-13.622276,301.89414,1.6604023,1.6604023
9200.0,484.11189,297.92722,-0.56968138,130742.65,12960.0,1620.0,-22072.094,-13.624749,297.92722,1.6640623,1.6640623
9300.0,489.38543,296.42969,-0.56758598,130742.65,12960.0,1620.0,-22070.64,-13.623852,296.42969,1.6798363,1.6798363
9400.0,494.63773,300.68098,-0.6012228500000001,130742.65,12960.0,1620.0,-22071.613,-13.624453,300.68098,1.6888195,1.6888195
9500.0,499.9345,301.4013,-0.65328071,130742.65,12960.0,1620.0,-22069.465,-13.623126,301.4013,1.6996764,1.6996764
9600.0,505.15899,304.90894,-0.59489776,130742.65,12960.0,1620.0,-22071.301,-13.62426,304.90894,1.6895427,1.6895427
9700.0,510.47614,303.06603,-0.6318918800000001,130742.65,12960.0,1620.0,-22070.376,-13.623689,303.06603,1.6905644,1.6905644
9800.0,515.72368,302.30553,-0.6621038400000001,130742.65,12960.0,1620.0,-22075.883,-13.627088,302.30553,1.6857151,1.6857151
9900.0,521.01291,297.37569,-0.6290407800000001,130742.65,12960.0,1620.0,-22073.812,-13.62581,297.37569,1.6708455,1.6708455
10000.0,526.28317,302.04821,-0.6651975000000001,130742.65,12960.0,1620.0,-22076.624,-13.627546,302.04821,1.6745887,1.6745888
10100.0,531.59037,299.1159,-0.6790345400000001,130742.65,12960.0,1620.0,-22071.788,-13.624561,299.1159,1.6770576,1.6770576
10200.0,536.89424,301.70601,-0.68651891,130742.65,12960.0,1620.0,-22070.83,-13.623969,301.70601,1.6827884,1.6827884
10300.0,542.16477,304.83304,-0.62480889,130742.65,12960.0,1620.0,-22072.591,-13.625056,304.83304,1.6933727,1.6933727
10400.0,547.42817,305.83267,-0.60415045,130742.65,12960.0,1620.0,-22073.37,-13.625537,305.83267,1.7139082,1.7139082
10500.0,552.72734,304.84186,-0.60102575,130742.65,12960.0,1620.0,-22074.737,-13.626381,304.84186,1.7147889,1.7147889
10600.0,558.03533,301.96086,-0.64800809,130742.65,12960.0,1620.0,-22075.727,-13.626992,301.96086,1.7228737,1.7228737
10700.0,563.35767,299.70307,-0.6775196200000001,130742.65,12960.0,1620.0,-22074.838,-13.626443,299.70307,1.7303572,1.7303572
10800.0,568.68695,304.28882,-0.74171235,130742.65,12960.0,1620.0,-22080.393,-13.629872,304.28882,1.7265741,1.7265741
10900.0,573.99784,296.70608,-0.66337617,130742.65,12960.0,1620.0,-22075.241,-13.626692,296.70608,1.7342826,1.7342826
11000.0,579.31517,301.01836,-0.7124224,130742.65,12960.0,1620.0,-22081.668,-13.630659,301.01836,1.7461669,1.7461669
11100.0,584.5838,301.89532,-0.62122105,130742.65,12960.0,1620.0,-22082.691,-13.631291,301.89532,1.7499562,1.7499562
11200.0,589.84536,302.62708,-0.67210587,130742.65,12960.0,1620.0,-22080.116,-13.629701,302.62708,1.7593876,1.7593876
11300.0,595.21915,305.90172,-0.75941506,130742.65,12960.0,1620.0,-22078.98,-13.629,305.90172,1.7669896,1.7669896
11400.0,600.53209,306.03734,-0.6082963100000001,130742.65,12960.0,1620.0,-22079.067,-13.629054,306.03734,1.747316,1.747316
11500.0,605.80314,302.16861,-0.7741760900000001,130742.65,12960.0,1620.0,-22077.647,-13.628177,302.16861,1.7488631,1.7488631
11600.0,611.10186,299.53251,-0.6599991900000001,130742.65,12960.0,1620.0,-22079.124,-13.629089,299.53251,1.7543502,1.7543502
11700.0,616.40661,298.94008,-0.69150064,130742.65,12960.0,1620.0,-22077.914,-13.628342,298.94008,1.7467321,1.7467321
11800.0,621.64712,302.70448,-0.6569298600000001,130742.65,12960.0,1620.0,-22080.45,-13.629908,302.70448,1.7478837,1.7478837
11900.0,626.92932,302.76922,-0.64367896,130742.65,12960.0,1620.0,-22079.774,-13.62949,302.76922,1.7500958,1.7500958
12000.0,632.20078,299.58666,-0.6514880100000001,130742.65,12960.0,1620.0,-22083.003,-13.631483,299.58666,1.7556461,1.7556461
12100.0,637.49872,299.88891,-0.6350804400000001,130742.65,12960.0,1620.0,-22085.033,-13.632736,299.88891,1.772404,1.772404
12200.0,642.77097,300.03507,-0.6682594199999999,130742.65,12960.0,1620.0,-22084.357,-13.632319,300.03507,1.7725051,1.7725051
12300.0,648.05668,299.76091,-0.72132706,130742.65,12960.0,1620.0,-22080.65,-13.630031,299.76091,1.7782897,1.7782897
12400.0,653.32308,303.15415,-0.6842884300000001,130742.65,12960.0,1620.0,-22080.818,-13.630135,303.15415,1.7876768,1.7876768
12500.0,658.6117,300.41799,-0.72150993,130742.65,12960.0,1620.0,-22078.298,-13.628579,300.41799,1.7936077,1.7936077
12600.0,663.95038,301.8296,-0.71651947,130742.65,12960.0,1620.0,-22079.24,-13.629161,301.8296,1.7950389,1.7950389
12700.0,669.28883,304.47956,-0.73019595,130742.65,12960.0,1620.0,-22083.55,-13.631821,304.47956,1.7940666,1.7940666
12800.0,674.5693,299.68379,-0.6565089900000001,130742.65,12960.0,1620.0,-22084.156,-13.632195,299.68379,1.7913566,1.7913566
12900.0,679.83448,300.37,-0.7143603199999999,130742.65,12960.0,1620.0,-22087.451,-13.634229,300.37,1.8143716,1.8143716
13000.0,685.16162,302.27813,-0.7506601,130742.65,12960.0,1620.0,-22089.202,-13.63531,302.27813,1.8239916,1.8239916
13100.0,690.45683,299.7927,-0.68493872,130742.65,12960.0,1620.0,-22083.07,-13.631525,299.7927,1.8422823,1.8422823
13200.0,695.74151,298.17636,-0.69417892,130742.65,12960.0,1620.0,-22082.395,-13.631108,298.17636,1.8436869,1.8436869
13300.0,701.00826,298.54467,-0.71217282,130742.65,12960.0,1620.0,-22086.115,-13.633404,298.54467,1.8337029,1.8337029
13400.0,706.25911,301.32157,-0.76329306,130742.65,12960.0,1620.0,-22091.701,-13.636853,301.32157,1.8397615,1.8397615
13500.0,711.59551,297.8858,-0.7076424,130742.65,12960.0,1620.0,-22088.196,-13.634689,297.8858,1.8483521,1.8483521
13600.0,716.954,299.10855,-0.72048227,130742.65,12960.0,1620.0,-22088.81,-13.635068,299.10855,1.8561637,1.8561637
13700.0,722.25945,300.51808,-0.70841473,130742.65,12960.0,1620.0,-22087.805,-13.634447,300.51808,1.8531172,1.8531172
13800.0,727.57008,300.05292,-0.59059134,130742.65,12960.0,1620.0,-22086.403,-13.633582,300.05292,1.8555865,1.8555865
13900.0,732.88829,301.86798,-0.6984424,130742.65,12960.0,1620.0,-22092.626,-13.637423,301.86798,1.8479453,1.8479453
14000.0,738.2217,299.31959,-0.63022967,130742.65,12960.0,1620.0,-22092.999,-13.637654,299.31959,1.8507767,1.8507767
14100.0,743.52496,298.09619,-0.62793663,130742.65,12960.0,1620.0,-22091.718,-13.636863,298.09619,1.8600441,1.8600441
14200.0,748.82397,299.84564,-0.67995129,130742.65,12960.0,1620.0,-22091.641,-13.636815,299.84564,1.847826,1.847826
14300.0,754.14848,300.38419,-0.65783056,130742.65,12960.0,1620.0,-22089.763,-13.635656,300.38419,1.8431175,1.8431175
14400.0,759.44787,303.75857,-0.7252044,130742.65,12960.0,1620.0,-22087.524,-13.634274,303.75857,1.8494468,1.8494468
14500.0,764.73599,305.37593,-0.70842145,130742.65,12960.0,1620.0,-22088.462,-13.634853,305.37593,1.8600532,1.8600531
14600.0,770.0019,303.53919,-0.73839832,130742.65,12960.0,1620.0,-22090.081,-13.635853,303.53919,1.8613679,1.8613679
14700.0,775.24538,302.26263,-0.6777233500000001,130742.65,12960.0,1620.0,-22090.553,-13.636144,302.26263,1.8606332,1.8606332
14800.0,780.51551,303.65152,-0.63635582,130742.65,12960.0,1620.0,-22093.665,-13.638065,303.65152,1.8560681,1.8560681
14900.0,785.81703,302.12622,-0.66735596,130742.65,12960.0,1620.0,-22095.334,-13.639095,302.12622,1.8654784,1.8654784
15000.0,791.15748,303.08215,-0.64667607,130742.65,12960.0,1620.0,-22097.034,-13.640144,303.08215,1.8658029,1.8658029
15100.0,796.50267,298.63655,-0.63173322,130742.65,12960.0,1620.0,-22095.452,-13.639168,298.63655,1.879852,1.879852
15200.0,801.78758,300.94171,-0.67306474,130742.65,12960.0,1620.0,-22101.631,-13.642982,300.94171,1.8798791,1.8798792
15300.0,807.0945,295.17457,-0.743319,130742.65,12960.0,1620.0,-22094.048,-13.638301,295.17457,1.8969925,1.8969925
15400.0,812.41421,302.39272,-0.7489325200000001,130742.65,12960.0,1620.0,-22095.058,-13.638924,302.39272,1.901418,1.901418
15500.0,817.81926,301.71266,-0.72110046,130742.65,12960.0,1620.0,-22093.599,-13.638024,301.71266,1.9008819,1.9008819
15600.0,823.13961,302.21779,-0.73979445,130742.65,12960.0,1620.0,-22094.813,-13.638773,302.21779,1.8966764,1.8966764
15700.0,828.41398,304.48733,-0.71898156,130742.65,12960.0,1620.0,-22098.558,-13.641085,304.48733,1.9120156,1.9120156
15800.0,833.75843,300.97665,-0.68521368,130742.65,12960.0,1620.0,-22098.877,-13.641282,300.97665,1.9157262,1.9157262
15900.0,839.04006,297.16907,-0.72387148,130742.65,12960.0,1620.0,-22098.313,-13.640934,297.16907,1.9059006,1.9059006
16000.0,844.38456,297.48561,-0.67230712,130742.65,12960.0,1620.0,-22099.513,-13.641675,297.48561,1.9067136,1.9067136
16100.0,849.73494,298.10607,-0.70287321,130742.65,12960.0,1620.0,-22098.099,-13.640802,298.10607,1.9050436,1.9050436
