Step,CPU,Temperature (K),Pressure (GPa),Volume,v_nAtom,v_FU,c_PE,Energy (eV/FU),c_T,MSD (Å$^2$),c_MSD2[4]
11300.0,574.29619,289.90122,-2.5923354,131362.06,12960.0,1620.0,-22422.002,-13.840742,289.90122,0.12817823,0.1281791
11400.0,579.41173,289.51589,-2.4630734000000003,131362.06,12960.0,1620.0,-22415.979,-13.837024,289.51589,0.11796225,0.11796385
11500.0,584.53637,303.67369,-2.4499723,131362.06,12960.0,1620.0,-22428.312,-13.844637,303.67369,0.11306767,0.11306823
11600.0,589.63829,311.01988,-2.2454853,131362.06,12960.0,1620.0,-22426.695,-13.843639,311.01988,0.13860008,0.13860136
11700.0,594.75442,298.47259,-2.6585499,131362.06,12960.0,1620.0,-22416.074,-13.837083,298.47259,0.13035898,0.13035941
11800.0,599.87882,309.05754,-2.2939617,131362.06,12960.0,1620.0,-22431.458,-13.846579,309.05754,0.12247593,0.1224782
11900.0,604.99264,289.9035,-2.5141637,131362.06,12960.0,1620.0,-22407.031,-13.831501,289.9035,0.14777751,0.14777971
12000.0,610.07255,292.92625,-2.3191812000000005,131362.06,12960.0,1620.0,-22409.365,-13.832941,292.92625,0.1398463,0.13984856
12100.0,615.21041,296.44771,-2.3706408,131362.06,12960.0,1620.0,-22412.595,-13.834935,296.44771,0.14518262,0.14518485
12200.0,620.3153,306.63854,-2.6420791,131362.06,12960.0,1620.0,-22421.734,-13.840577,306.63854,0.16661166,0.16661525
12300.0,625.43401,314.63553,-2.0640956,131362.06,12960.0,1620.0,-22426.643,-13.843607,314.63553,0.16556335,0.16556256
12400.0,630.52837,300.66939,-2.6407944,131362.06,12960.0,1620.0,-22416.006,-13.837041,300.66939,0.16422062,0.16422168
12500.0,635.6801,296.35686,-1.9601676000000001,131362.06,12960.0,1620.0,-22411.717,-13.834393,296.35686,0.18463927,0.18464096
12600.0,640.82046,305.5791,-2.0454687000000003,131362.06,12960.0,1620.0,-22420.243,-13.839656,305.5791,0.17859025,0.17859167
12700.0,645.91561,294.7238,-2.3647044999999998,131362.06,12960.0,1620.0,-22411.649,-13.834351,294.7238,0.16127835,0.16128027
12800.0,651.04098,306.28392,-2.3517811,131362.06,12960.0,1620.0,-22419.25,-13.839043,306.28392,0.15239022,0.15239012
12900.0,656.17555,299.8605,-2.1146549,131362.06,12960.0,1620.0,-22410.911,-13.833896,299.8605,0.16322412,0.1632268
13000.0,661.2426,318.57687,-2.5798739000000004,131362.06,12960.0,1620.0,-22428.525,-13.844768,318.57687,0.17333296,0.1733338
13100.0,666.41541,317.49056,-2.2427988,131362.06,12960.0,1620.0,-22422.137,-13.840826,317.49056,0.141066,0.14106553
13200.0,671.52901,317.8193,-2.6349088000000003,131362.06,12960.0,1620.0,-22421.778,-13.840603,317.8193,0.14591393,0.14591609
13300.0,676.65166,301.57166,-2.3686420999999998,131362.06,12960.0,1620.0,-22411.716,-13.834392,301.57166,0.14138707,0.14138915
13400.0,681.81009,303.82571,-2.5272999,131362.06,12960.0,1620.0,-22419.828,-13.8394,303.82571,0.1275187,0.12751943
13500.0,686.9119,300.20648,-1.9009199,131362.06,12960.0,1620.0,-22423.949,-13.841944,300.20648,0.13232259,0.13232217
13600.0,692.06152,303.01799,-2.545648,131362.06,12960.0,1620.0,-22432.337,-13.847122,303.01799,0.12007947,0.12007964
13700.0,697.16731,298.69924,-2.5591106,131362.06,12960.0,1620.0,-22431.215,-13.846429,298.69924,0.119894,0.11989536
13800.0,702.31445,295.81218,-2.4747268,131362.06,12960.0,1620.0,-22422.832,-13.841254,295.81218,0.12835124,0.12835538
13900.0,707.43387,286.43372,-2.6007134,131362.06,12960.0,1620.0,-22411.575,-13.834305,286.43372,0.13364319,0.13364623
14000.0,712.56652,294.34963,-2.4206896,131362.06,12960.0,1620.0,-22419.738,-13.839344,294.34963,0.14250408,0.14250439
14100.0,717.65857,295.66519,-2.6606976,131362.06,12960.0,1620.0,-22417.365,-13.837879,295.66519,0.14831228,0.14831335
14200.0,722.79541,302.60615,-2.3526215,131362.06,12960.0,1620.0,-22420.25,-13.839661,302.60615,0.14104666,0.14104908
14300.0,727.92904,300.23551,-2.4778833,131362.06,12960.0,1620.0,-22425.211,-13.842723,300.23551,0.15628786,0.15628798
14400.0,733.03477,305.54716,-2.2595874,131362.06,12960.0,1620.0,-22435.528,-13.849092,305.54716,0.15717359,0.15717573
14500.0,738.17341,306.549,-2.4984447000000003,131362.06,12960.0,1620.0,-22435.351,-13.848982,306.549,0.15785625,0.15785926
14600.0,743.26629,306.56106,-2.8240343,131362.06,12960.0,1620.0,-22432.032,-13.846933,306.56106,0.11563365,0.11563559
14700.0,748.36623,289.97247,-2.6990971000000004,131362.06,12960.0,1620.0,-22418.474,-13.838564,289.97247,0.13061143,0.13061187
14800.0,753.47765,303.44499,-2.4981197,131362.06,12960.0,1620.0,-22428.697,-13.844875,303.44499,0.12844853,0.12844956
14900.0,758.6134,306.14343,-2.1829114,131362.06,12960.0,1620.0,-22424.185,-13.842089,306.14343,0.13892451,0.1389267
15000.0,763.7358,291.91726,-1.9633053,131362.06,12960.0,1620.0,-22402.87,-13.828932,291.91726,0.14240223,0.14240255
15100.0,768.84654,316.5036,-2.7850645000000003,131362.06,12960.0,1620.0,-22429.194,-13.845182,316.5036,0.12182784,0.12183104
15200.0,774.02373,310.96166,-2.5196933,131362.06,12960.0,1620.0,-22430.279,-13.845851,310.96166,0.12781408,0.127815
15300.0,779.18388,291.90757,-2.1956061000000004,131362.06,12960.0,1620.0,-22413.755,-13.835652,291.90757,0.15073047,0.15073017
15400.0,784.33591,286.84282,-2.3401821000000003,131362.06,12960.0,1620.0,-22407.49,-13.831784,286.84282,0.15875738,0.15875952
15500.0,789.43422,312.7288,-2.353516,131362.06,12960.0,1620.0,-22428.709,-13.844882,312.7288,0.15810654,0.15810731
15600.0,794.53667,300.50558,-2.4685527,131362.06,12960.0,1620.0,-22420.268,-13.839672,300.50558,0.17467921,0.17468215
15700.0,799.7229,293.76309,-2.2364227,131362.06,12960.0,1620.0,-22412.382,-13.834804,293.76309,0.16867942,0.16868113
